DateTime,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004-03-14 19:00:00,4.6,1808.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732
2004-03-14 20:00:00,5.9,1898.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921
2004-03-15 18:00:00,6.1,1917.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547
2004-03-15 19:00:00,8.0,2040.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086
2004-03-16 21:00:00,5.1,1800.0,24.9,1426.0,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007
2004-03-17 18:00:00,5.0,1557.0,27.0,1478.0,299.0,793.0,158.0,1981.0,1569.0,25.9,16.0,0.5237
2004-03-17 19:00:00,7.6,1973.0,38.4,1737.0,411.0,617.0,194.0,2414.0,2306.0,23.1,26.5,0.7403
2004-03-17 20:00:00,6.7,1975.0,35.1,1667.0,347.0,597.0,182.0,2416.0,2359.0,20.5,38.2,0.9133
2004-03-30 09:00:00,4.2,1556.0,21.5,1337.0,283.0,674.0,150.0,1852.0,1689.0,16.3,28.8,0.5305
2004-03-30 10:00:00,4.7,1565.0,21.0,1324.0,320.0,695.0,159.0,1872.0,1688.0,17.9,28.2,0.5741
2004-04-08 19:00:00,6.3,1618.0,29.1,1530.0,326.0,579.0,171.0,2167.0,1791.0,18.0,32.9,0.6737
2004-04-23 15:00:00,4.4,1460.0,25.3,1438.0,260.0,680.0,196.0,1953.0,1489.0,30.0,19.4,0.81
2004-04-23 16:00:00,4.6,1497.0,25.8,1449.0,281.0,679.0,186.0,1985.0,1532.0,29.5,20.1,0.8136
2004-04-23 17:00:00,5.2,1645.0,30.6,1566.0,284.0,599.0,177.0,2228.0,1909.0,27.0,26.8,0.9403
2004-05-25 11:00:00,3.2,1153.0,18.5,1253.0,289.0,815.0,155.0,1541.0,1381.0,28.3,9.9,0.3754
2004-05-25 12:00:00,2.1,1047.0,13.5,1101.0,159.0,913.0,114.0,1391.0,1103.0,29.2,9.8,0.3914
2004-05-25 13:00:00,2.2,1091.0,15.8,1172.0,162.0,874.0,127.0,1459.0,1105.0,31.6,9.2,0.419
2004-05-25 14:00:00,2.4,1162.0,18.5,1253.0,173.0,796.0,138.0,1595.0,1248.0,32.6,9.3,0.4499
2004-05-25 15:00:00,2.484210526315789,1059.0,12.6,1070.0,173.75,925.0,137.9,1401.0,976.0,32.6,9.2,0.4463
2004-05-25 16:00:00,2.568421052631579,1083.0,12.0,1051.0,174.5,939.0,137.8,1390.0,898.0,32.3,10.0,0.4747
2004-05-25 18:00:00,2.736842105263158,1321.0,24.9,1426.0,176.0,720.0,137.6,1859.0,1395.0,29.7,12.2,0.5007
2004-05-30 15:00:00,0.2,815.0,4.2,723.0,41.0,1378.0,46.0,1256.0,471.0,32.0,15.0,0.7028
2004-06-01 04:00:00,0.14,783.0,1.3,529.0,16.0,1437.0,24.0,1435.0,466.0,16.5,82.3,1.5318
2004-06-09 18:00:00,4.9,1460.0,27.6,1493.0,277.0,586.0,222.0,2288.0,1649.0,37.3,23.4,1.4672
2004-06-29 18:00:00,3.7,1372.0,23.2,1382.0,202.0,568.0,181.0,2268.0,1441.0,36.9,27.8,1.7099
2004-06-29 19:00:00,4.6,1443.0,25.6,1443.0,286.0,543.0,202.0,2332.0,1559.0,34.7,31.9,1.7325
2004-06-30 17:00:00,4.2,1388.0,24.5,1418.0,287.0,568.0,226.0,2250.0,1913.0,38.8,24.2,1.6433
2004-06-30 18:00:00,4.9,1506.0,27.8,1499.0,267.0,506.0,207.0,2485.0,2043.0,33.5,38.0,1.939
2004-06-30 19:00:00,4.9,1352.0,23.3,1385.0,280.0,563.0,197.0,2205.0,1661.0,34.0,32.9,1.7251
2004-07-06 17:00:00,3.8,1179.0,22.5,1364.0,306.0,661.0,192.0,1845.0,1265.0,39.5,12.6,0.8894
2004-07-06 18:00:00,4.4,1298.0,25.0,1430.0,317.0,632.0,194.0,1946.0,2475.0,37.9,13.9,0.9015
2004-07-07 13:00:00,2.2,1068.0,15.1,1152.0,193.0,739.0,142.0,1683.0,1309.0,42.6,9.6,0.8012
2004-07-07 14:00:00,2.2,1090.0,14.1,1120.0,195.0,743.0,130.0,1629.0,1283.0,42.5,10.2,0.8478
2004-07-07 19:00:00,5.3,1502.0,29.8,1546.0,337.0,538.0,223.0,2199.0,1919.0,35.6,20.4,1.1646
2004-07-08 19:00:00,5.1,1611.0,30.0,1552.0,317.0,487.0,206.0,2371.0,1948.0,34.9,29.3,1.611
2004-07-18 14:00:00,0.1,889.0,3.8,698.0,27.0,1132.0,40.0,1234.0,437.0,40.2,12.3,0.8983
2004-07-18 16:00:00,0.4,973.0,5.6,792.0,53.0,977.0,70.0,1356.0,620.0,41.4,11.8,0.9282
2004-07-21 13:00:00,3.918181818181818,1115.0,11.5,1031.0,110.0,741.0,123.0,1561.0,870.0,40.4,15.0,1.1125
2004-07-21 14:00:00,3.954545454545454,1018.0,7.5,880.0,67.0,865.0,86.0,1421.0,613.0,40.1,15.2,1.1065
2004-07-21 15:00:00,3.9909090909090903,1109.0,10.3,989.0,98.0,778.0,107.0,1537.0,819.0,42.0,14.2,1.1517
2004-07-21 16:00:00,4.027272727272727,1105.0,10.2,984.0,97.0,767.0,106.0,1532.0,868.0,42.7,14.4,1.2092
2004-08-03 10:00:00,0.1467532467532467,1234.0,15.2,1154.0,211.0,596.0,173.0,1965.0,1204.0,32.8,36.9,1.803
2004-08-03 13:00:00,0.1467532467532467,1118.0,10.5,995.0,144.0,689.0,111.0,1779.0,863.0,35.1,32.4,1.7996
2004-08-03 16:00:00,0.1467532467532467,1103.0,11.0,1014.0,130.0,684.0,123.0,1749.0,791.0,38.0,24.7,1.6073
2004-08-04 16:00:00,0.1467532467532467,1018.0,7.6,881.0,82.72727272727273,828.0,77.36363636363636,1590.0,630.0,39.3,22.0,1.5366
2004-08-04 17:00:00,0.1467532467532467,1108.0,10.7,1003.0,82.72727272727273,727.0,77.36363636363636,1710.0,803.0,38.2,23.8,1.5666
2004-08-06 08:00:00,3.0,1307.0,19.1,1270.0,240.0,516.0,84.0,2191.0,1404.0,22.5,74.9,2.019
2004-08-11 10:00:00,1.8,1179.0,9.5,957.0,105.0,680.0,67.0,1819.0,1131.0,33.6,41.0,2.0995
2004-08-11 11:00:00,1.7,1144.0,8.3,913.0,89.0,715.0,68.0,1782.0,972.0,35.1,38.1,2.1144
2004-09-09 18:00:00,5.4,1425.0,32.3,1605.0,631.0,660.0,220.0,1920.0,2321.0,35.2,16.6,0.9242
2004-09-12 13:00:00,1.7551724137931035,1243.0,7.6,883.0,206.9310344827586,745.0,104.82758620689656,1660.0,1036.0,24.8,70.4,2.1766
2004-09-12 16:00:00,1.7551724137931035,1254.0,6.6,840.0,206.9310344827586,787.0,104.82758620689656,1602.0,846.0,26.1,66.8,2.231
2004-09-14 23:00:00,1.09,1011.0,4.4,734.0,144.65,967.0,60.15,1497.0,918.0,19.2,87.2,1.9195
2004-09-20 19:00:00,6.5,1476.0,34.9,1663.0,681.0,473.0,225.0,2167.0,1785.0,28.1,32.4,1.2173
2004-09-28 18:00:00,6.7,1432.0,36.9,1706.0,702.0,488.0,204.0,2098.0,1842.0,24.7,27.9,0.8559
2004-09-28 19:00:00,7.5,1479.0,39.3,1756.0,755.0,466.0,209.0,2165.0,1908.0,23.0,33.6,0.9302
2004-10-03 04:00:00,5.486713286713286,929.0,3.9,703.0,528.5454545454545,908.0,165.55944055944056,1391.0,761.0,20.2,64.4,1.5035
2004-10-20 17:00:00,8.0,1884.0,43.7,1846.0,895.0,348.0,194.0,2595.0,2203.0,24.6,58.9,1.8005
2004-10-20 18:00:00,7.7,1835.0,40.0,1770.0,826.0,358.0,172.0,2474.0,2073.0,23.9,61.8,1.8088
2004-10-20 19:00:00,6.8,1759.0,35.9,1684.0,648.0,373.0,134.0,2378.0,1923.0,23.0,65.9,1.8319
2004-10-22 18:00:00,8.4,1808.0,40.0,1771.0,686.0,373.0,163.0,2486.0,2235.0,24.3,54.3,1.6276
2004-10-26 17:00:00,8.4,1822.0,45.9,1890.0,918.0,347.0,187.0,2641.0,2161.0,23.2,58.7,1.651
2004-10-26 18:00:00,9.5,1908.0,52.1,2007.0,952.0,325.0,180.0,2775.0,2372.0,22.5,61.5,1.6579
2004-10-29 12:00:00,4.2,1523.0,24.9,1428.0,603.0,458.0,116.0,2114.0,1363.0,20.2,86.5,2.0224
2004-10-29 13:00:00,5.1,1424.0,22.4,1361.0,589.0,484.0,137.0,1983.0,1346.0,20.2,82.2,1.9184
2004-10-29 14:00:00,5.5,1513.0,26.1,1457.0,706.0,463.0,163.0,2125.0,1393.0,19.7,82.2,1.8669
2004-11-02 18:00:00,7.9,1751.0,44.1,1853.0,789.0,358.0,158.0,2496.0,2013.0,23.0,62.1,1.7283
2004-11-02 20:00:00,9.2,1778.0,48.2,1935.0,859.0,349.0,119.0,2643.0,1927.0,20.9,67.5,1.6539
2004-11-04 15:00:00,7.0,1463.0,24.5,1417.0,512.0,467.0,156.0,1900.0,1651.0,26.8,43.3,1.4977
2004-11-04 16:00:00,7.566666666666666,1530.0,24.8,1425.0,595.0,457.0,143.0,1975.0,1652.0,26.6,45.5,1.5555
2004-11-04 17:00:00,8.133333333333333,1915.0,45.9,1889.0,1052.0,340.0,186.0,2603.0,2110.0,24.8,53.9,1.6683
2004-11-04 18:00:00,8.7,1882.0,47.5,1920.0,1014.0,328.0,171.0,2609.0,2204.0,23.1,61.1,1.7082
2004-11-08 19:00:00,6.6,1303.0,28.9,1524.0,721.1176470588235,515.0,178.47058823529412,1744.0,1580.0,10.6,53.4,0.6818
2004-11-08 20:00:00,6.375,1189.0,23.1,1381.0,700.2352941176471,566.0,173.94117647058823,1574.0,1426.0,9.5,57.9,0.6877
2004-11-08 21:00:00,6.1499999999999995,1054.0,13.7,1106.0,679.3529411764706,679.0,169.41176470588235,1297.0,1239.0,8.6,60.5,0.6788
2004-11-08 22:00:00,5.925,943.0,8.0,900.0,658.4705882352941,816.0,164.88235294117646,1129.0,1064.0,8.5,59.7,0.6649
2004-11-08 23:00:00,5.699999999999999,903.0,7.4,872.0,637.5882352941177,855.0,160.35294117647058,1108.0,987.0,7.9,61.4,0.6582
2004-11-09 00:00:00,5.475,858.0,4.9,760.0,616.7058823529412,940.0,155.8235294117647,1049.0,873.0,7.1,63.6,0.6442
2004-11-09 01:00:00,5.25,821.0,3.7,696.0,616.7058823529412,1032.0,155.8235294117647,1013.0,783.0,7.2,62.2,0.6362
2004-11-09 02:00:00,5.25,781.0,2.9,645.0,616.7058823529412,1088.0,155.8235294117647,986.0,719.0,5.6,67.9,0.6247
2004-11-09 03:00:00,5.25,741.0,1.9,580.0,616.7058823529412,1224.0,155.8235294117647,952.0,660.0,5.1,68.7,0.6077
2004-11-09 04:00:00,5.25,720.0,1.4,540.0,616.7058823529412,1296.0,155.8235294117647,938.0,613.0,4.4,71.4,0.6024
2004-11-09 05:00:00,5.25,733.0,1.9,574.0,616.7058823529412,1238.0,155.8235294117647,964.0,627.0,4.1,73.1,0.6074
2004-11-09 06:00:00,5.25,780.0,3.2,666.0,616.7058823529412,1099.0,155.8235294117647,1003.0,697.0,3.2,76.8,0.5963
2004-11-09 07:00:00,5.25,915.0,7.4,873.0,616.7058823529412,873.0,155.8235294117647,1135.0,915.0,3.7,76.2,0.6137
2004-11-09 08:00:00,5.25,1228.0,22.4,1362.0,616.7058823529412,575.0,155.8235294117647,1543.0,1399.0,4.9,70.7,0.6193
2004-11-10 04:00:00,0.2,715.0,0.5,445.0,32.0,1601.0,29.0,925.0,373.0,8.0,64.5,0.695
2004-11-10 05:00:00,0.2,726.0,0.5,443.0,29.0,1663.0,26.0,942.0,363.0,8.1,68.6,0.7409
2004-11-10 06:00:00,0.3,771.0,0.9,490.0,48.0,1419.0,39.0,990.0,411.0,6.3,84.8,0.8148
2004-11-11 09:00:00,6.8,1578.0,32.3,1605.0,1247.0,429.0,211.0,2032.0,1643.0,9.9,83.4,1.0194
2004-11-17 17:00:00,7.8,1659.0,35.9,1685.0,1290.0,423.0,272.0,1946.0,2155.0,16.0,41.5,0.7483
2004-11-17 18:00:00,10.2,1802.0,47.7,1924.0,748.0,356.0,192.0,2235.0,2452.0,13.7,52.8,0.8244
2004-11-19 19:00:00,8.3,1623.0,29.8,1547.0,832.0,414.0,188.0,2040.0,1883.0,16.2,62.6,1.1455
2004-11-19 20:00:00,8.6,1510.0,27.9,1501.0,881.0,456.0,185.0,1901.0,1855.0,15.2,57.5,0.9829
2004-11-19 21:00:00,4.3,837.0,6.5,835.0,390.0,896.0,146.0,960.0,1078.0,14.2,27.7,0.4451
2004-11-19 22:00:00,2.6,667.0,3.6,689.0,207.0,1210.0,120.0,709.0,620.0,13.4,14.3,0.2185
2004-11-19 23:00:00,2.6,695.0,4.0,711.0,204.0,1193.0,110.0,739.0,645.0,12.8,14.8,0.218
2004-11-20 00:00:00,2.7,683.0,3.6,686.0,243.0,1240.0,121.0,702.0,627.0,12.2,14.0,0.1988
2004-11-20 01:00:00,2.7,695.0,4.0,709.0,264.0,1236.0,126.0,717.0,645.0,12.0,14.5,0.2029
2004-11-20 02:00:00,2.6,703.0,3.5,685.0,215.0,1218.0,117.0,734.0,641.0,10.8,17.0,0.2193
2004-11-20 03:00:00,2.4,698.0,2.4,614.0,180.5,1286.0,105.5,718.0,591.0,10.4,19.2,0.242
2004-11-20 04:00:00,1.5,714.0,2.3,605.0,146.0,1278.0,94.0,738.0,594.0,9.7,22.5,0.2698
2004-11-20 05:00:00,0.6,692.0,1.5,546.0,92.0,1347.0,70.0,697.0,500.0,9.0,23.1,0.2648
2004-11-20 18:00:00,4.6,1252.0,22.3,1359.0,870.0,604.0,239.0,1380.0,1765.0,11.1,31.8,0.4187
2004-11-21 07:00:00,0.2,819.0,3.6,690.0,127.0,1051.0,84.0,907.0,819.0,1.8,61.7,0.4376
2004-11-21 08:00:00,0.2,862.0,4.9,757.0,227.0,983.0,116.0,938.0,879.0,1.3,65.3,0.4457
2004-11-21 15:00:00,0.3,866.0,5.0,763.0,160.0,1018.0,106.0,859.0,775.0,15.2,18.7,0.3214
2004-11-22 09:00:00,3.1,1493.0,50.7,1981.0,846.0,448.0,215.0,1567.0,2346.0,5.4,55.1,0.497
2004-11-23 18:00:00,10.2,1982.0,49.5,1959.0,1369.0,322.0,227.0,2536.0,2386.0,13.2,72.6,1.0936
2004-11-23 19:00:00,11.9,2008.0,50.6,1980.0,1389.0,325.0,220.0,2562.0,2342.0,12.4,74.7,1.0741
2004-11-23 20:00:00,11.5,1918.0,49.4,1958.0,1358.0,335.0,190.0,2477.0,2237.0,11.5,76.2,1.0324
2004-11-23 21:00:00,8.3,1693.0,31.7,1590.0,1189.0,412.0,178.0,1949.0,2025.0,10.4,79.3,0.9993
2004-11-24 20:00:00,8.4,1669.0,36.0,1686.0,1074.0,384.0,181.0,2066.0,1961.0,10.1,79.3,0.9795
2004-11-25 03:00:00,2.1,1009.0,8.7,928.0,494.5,754.0,91.0,1166.0,983.0,5.1,84.0,0.7439
2004-11-25 04:00:00,2.2,1050.0,9.4,956.0,456.0,725.0,89.0,1162.0,1025.0,4.3,85.4,0.7152
2004-11-25 05:00:00,2.2,1053.0,9.4,955.0,486.0,710.0,94.0,1154.0,1050.0,4.0,85.7,0.7041
2004-11-25 06:00:00,2.0,1016.0,9.1,945.0,498.0,724.0,93.0,1147.0,1038.0,4.0,84.4,0.6943
2004-11-25 07:00:00,2.2,1057.0,10.7,1004.0,585.0,702.0,100.0,1204.0,1080.0,4.0,83.1,0.682
2004-11-26 18:00:00,10.1,1956.0,45.2,1877.0,1389.0,347.0,255.0,2338.0,2465.0,15.5,62.8,1.0979
2004-11-26 21:00:00,8.1,1759.0,31.6,1588.0,1155.0,437.0,205.0,1971.0,2234.0,14.6,67.7,1.1164
2004-12-01 18:00:00,7.5,1547.0,29.2,1532.0,1040.0,1009.0,185.0,1972.0,1718.0,12.3,78.8,1.1279
2004-12-02 19:00:00,9.4,1816.0,43.9,1851.0,1184.0,341.0,171.0,2405.0,2069.0,15.4,73.0,1.2688
2004-12-10 18:00:00,4.0,1073.0,16.5,1195.0,575.0,675.0,177.0,1249.0,1244.0,14.6,23.7,0.3903
2004-12-10 19:00:00,4.2,1050.0,18.7,1260.0,539.0,662.0,164.0,1256.0,1269.0,13.7,22.9,0.3581
2004-12-12 18:00:00,6.3,1604.0,25.4,1438.0,968.0,466.0,188.0,1650.0,2018.0,12.2,53.9,0.7617
2004-12-13 18:00:00,9.9,1881.0,50.8,1983.0,1479.0,334.0,269.0,2271.0,2523.0,12.6,55.9,0.8142
2004-12-13 19:00:00,6.9,1633.0,35.6,1677.0,1018.0,400.0,217.0,1880.0,2188.0,11.7,60.8,0.8336
2004-12-14 17:00:00,7.4,1570.7236842105262,27.057894736842105,1479.157894736842,1159.0,461.3684210526315,257.0,1774.8947368421052,1954.4605263157896,16.753947368421052,48.6578947368421,0.9190802631578948
2004-12-14 18:00:00,9.3,1567.4473684210527,26.91578947368421,1475.3157894736842,1310.0,462.7368421052632,248.0,1771.7894736842106,1946.921052631579,16.707894736842107,48.91578947368421,0.9206605263157894
2004-12-15 03:00:00,0.9,1554.342105263158,26.347368421052632,1459.9473684210527,201.0,468.2105263157895,74.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-15 04:00:00,0.7,1554.342105263158,26.347368421052632,1459.9473684210527,103.0,468.2105263157895,61.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-15 05:00:00,0.8,1554.342105263158,26.347368421052632,1459.9473684210527,133.0,468.2105263157895,61.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-15 06:00:00,1.0,1554.342105263158,26.347368421052632,1459.9473684210527,244.0,468.2105263157895,82.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-15 07:00:00,1.2,1554.342105263158,26.347368421052632,1459.9473684210527,222.0,468.2105263157895,83.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-16 04:00:00,1.35,1554.342105263158,26.347368421052632,1459.9473684210527,191.0,468.2105263157895,81.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-16 05:00:00,1.0,1554.342105263158,26.347368421052632,1459.9473684210527,149.0,468.2105263157895,74.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-16 06:00:00,1.0,1554.342105263158,26.347368421052632,1459.9473684210527,212.0,468.2105263157895,81.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-16 19:00:00,8.6,1554.342105263158,26.347368421052632,1459.9473684210527,1235.0,468.2105263157895,227.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-16 20:00:00,9.1,1554.342105263158,26.347368421052632,1459.9473684210527,1253.0,468.2105263157895,219.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-16 21:00:00,8.6,1554.342105263158,26.347368421052632,1459.9473684210527,1237.0,468.2105263157895,203.0,1759.3684210526317,1916.7631578947369,16.523684210526316,49.94736842105263,0.9269815789473684
2004-12-18 14:00:00,0.8,722.0,3.3,671.0,133.0,1596.0,68.0,737.0,448.0,14.3,18.4,0.2991
2004-12-18 15:00:00,0.6,699.0,2.4,613.0,115.0,1731.0,64.0,682.0,387.0,15.0,16.3,0.2749
2004-12-18 16:00:00,0.9,755.0,3.6,690.0,157.0,1653.0,80.0,750.0,467.0,14.9,17.1,0.2875
2004-12-18 17:00:00,0.8,746.0,3.5,684.0,149.0,1301.0,81.0,764.0,484.0,13.2,18.8,0.2837
2004-12-18 20:00:00,3.9,1112.0,19.0,1267.0,659.0,671.0,162.0,1250.0,1307.0,11.1,24.8,0.3264
2004-12-18 21:00:00,4.4,1133.0,17.2,1215.0,727.0,674.0,179.0,1196.0,1415.0,10.1,29.7,0.3666
2004-12-19 18:00:00,5.5,1327.0,17.3,1219.0,579.0,582.0,175.0,1453.0,1366.0,4.7,83.4,0.7177
2004-12-19 19:00:00,4.5,1293.0,14.6,1136.0,542.0,631.0,170.0,1365.0,1278.0,5.2,83.1,0.7411
2004-12-19 20:00:00,4.7,1353.0,16.2,1187.0,601.0,599.0,173.0,1424.0,1293.0,5.5,84.1,0.7657
2004-12-19 21:00:00,4.3,1254.0,13.8,1111.0,521.0,630.0,151.0,1360.0,1198.0,5.8,84.5,0.7822
2004-12-20 09:00:00,3.6,1012.0,7.1,861.0,311.0,785.0,119.0,1133.0,951.0,8.5,60.4,0.6713
2004-12-20 10:00:00,2.9,934.0,5.0,766.0,269.0,878.0,111.0,1047.0,836.0,8.9,57.4,0.6575
2004-12-21 09:00:00,5.5,1179.0,23.5,1390.0,755.0,567.0,198.0,1453.0,1459.0,6.5,38.1,0.3709
2004-12-22 19:00:00,3.9,1094.0,13.6,1105.0,483.0,708.0,178.0,1086.0,1274.0,6.4,36.5,0.3519
2004-12-22 20:00:00,4.1,1128.0,15.4,1161.0,480.0,672.0,174.0,1163.0,1340.0,5.9,37.8,0.3528
2004-12-23 07:00:00,1.8,961.0,5.3,779.0,267.0,917.0,115.0,960.0,983.0,1.2,61.4,0.4159
2004-12-23 08:00:00,3.6,1195.0,13.4,1096.0,543.0,668.0,169.0,1166.0,1315.0,1.4,61.3,0.4208
2004-12-23 09:00:00,3.7,1184.0,15.0,1148.0,496.0,651.0,174.0,1178.0,1389.0,2.2,58.1,0.4218
2004-12-23 14:00:00,4.9,1336.0,18.6,1256.0,777.0,567.0,224.0,1320.0,1828.0,10.0,34.7,0.4259
2004-12-23 17:00:00,6.6,1568.0,29.0,1528.0,864.0,455.0,208.0,1661.0,2046.0,9.4,41.3,0.4888
2004-12-23 18:00:00,8.5,1630.0,33.1,1622.0,1089.0,421.0,247.0,1757.0,2238.0,8.0,45.9,0.4936
2004-12-23 19:00:00,8.7,1704.0,36.1,1689.0,1070.0,402.0,242.0,1820.0,2480.0,7.1,50.3,0.51
2004-12-23 20:00:00,9.1,1701.0,36.3,1692.0,1220.0,402.0,252.0,1832.0,2415.0,6.2,56.9,0.5419
2004-12-23 21:00:00,7.2,1564.0,26.3,1462.0,1076.0,472.0,228.0,1574.0,2181.0,6.3,57.9,0.5575
2004-12-24 09:00:00,6.1,1458.0,20.4,1307.0,706.0,497.0,165.0,1483.0,2103.0,6.1,60.5,0.5719
2004-12-24 10:00:00,6.6,1462.0,18.8,1263.0,750.0,510.0,170.0,1421.0,2082.0,6.7,59.7,0.589
2004-12-24 11:00:00,6.5,1448.0,18.8,1263.0,747.0,511.0,165.0,1428.0,1971.0,7.2,58.6,0.5986
2004-12-24 12:00:00,6.0,1419.0,18.5,1254.0,670.0,524.0,167.0,1406.0,1950.0,8.0,55.9,0.6018
2004-12-24 13:00:00,6.9,1561.0,24.8,1425.0,772.0,465.0,197.0,1624.0,2101.0,9.8,52.4,0.6349
2004-12-24 14:00:00,7.9,1558.0,22.9,1375.0,792.0,471.0,217.0,1563.0,2112.0,10.5,51.1,0.6503
2004-12-24 15:00:00,6.1,1438.0,16.9,1208.0,626.0,528.0,204.0,1405.0,1962.0,10.8,52.4,0.6767
2004-12-24 16:00:00,6.7,1532.0,22.2,1356.0,678.0,474.0,193.0,1610.0,2033.0,10.6,55.3,0.7058
2004-12-24 17:00:00,6.8,1522.0,21.5,1337.0,706.0,479.0,192.0,1578.0,2034.0,10.4,57.0,0.7167
2004-12-24 18:00:00,6.7,1514.0,21.5,1338.0,668.0,474.0,175.0,1598.0,2018.0,10.2,58.3,0.7256
2004-12-24 20:00:00,6.8,1511.0,19.53333333333333,1281.3333333333333,649.0,491.0,170.0,1547.6666666666667,2034.0,9.933333333333334,60.9,0.7442666666666666
2004-12-28 09:00:00,1.224742268041237,1456.0,23.4,1389.0,168.09278350515464,443.0,101.30927835051548,1808.0,1504.0,9.1,77.1,0.8947
