DateTime,PT08.S1(CO)_mean,PT08.S1(CO)_max,PT08.S2(NMHC)_mean,PT08.S2(NMHC)_max,PT08.S3(NOx)_mean,PT08.S3(NOx)_max,PT08.S4(NO2)_mean,PT08.S4(NO2)_max,PT08.S5(O3)_mean,PT08.S5(O3)_max,T_mean,T_max,RH_mean,RH_max,AH_mean,AH_max,day_of_week,month,is_weekend
2004-03-18,1352.6666666666667,1934.0,1072.5833333333333,1682.0,901.1666666666666,1293.0,1702.8333333333333,2468.0,1301.0,2051.0,17.7625,27.1,44.0875,64.2,0.8260166666666667,0.9606,3,3,0
2004-03-19,1304.2916666666667,1819.0,1058.0,1582.0,913.375,1620.0,1745.4166666666667,2456.0,1095.7916666666667,1716.0,14.191666666666668,16.4,57.90416666666667,71.1,0.9239583333333333,1.0029,4,3,0
2004-03-20,1288.625,1633.0,911.9583333333334,1199.0,968.4583333333334,1317.0,1609.0833333333333,1919.0,1019.0,1442.0,15.862499999999999,19.5,52.18333333333334,59.0,0.9289958333333334,1.0356,5,3,1
2004-03-21,1252.7083333333333,1605.0,870.625,1153.0,975.6666666666666,1300.0,1601.7916666666667,1874.0,954.25,1637.0,17.2125,21.4,52.45416666666667,66.2,1.0063208333333333,1.0868,6,3,1
2004-03-22,1129.3333333333333,1514.0,911.5416666666666,1325.0,1062.25,1813.0,1595.3333333333333,1996.0,857.875,1401.0,17.358333333333334,21.3,44.833333333333336,60.5,0.8579333333333333,1.0919,0,3,0
2004-03-23,1122.1666666666667,1498.0,896.625,1325.0,1073.5416666666667,1908.0,1557.0,2095.0,892.7083333333334,1329.0,12.133333333333333,16.0,60.46666666666667,80.5,0.8424999999999999,0.9483,1,3,0
2004-03-24,1149.0416666666667,1597.0,888.875,1395.0,1040.75,1572.0,1541.625,2080.0,909.9583333333334,1519.0,11.674999999999999,16.9,59.0875,81.1,0.7967083333333332,0.972,2,3,0
2004-03-25,1084.9583333333333,1443.0,859.7083333333334,1418.0,1124.2083333333333,1935.0,1494.6666666666667,2060.0,800.4583333333334,1488.0,11.633333333333333,17.7,58.79583333333333,83.2,0.7820791666666667,0.8695,3,3,0
2004-03-26,1084.7083333333333,1408.0,892.5,1278.0,1032.2083333333333,1449.0,1457.625,1928.0,888.5,1481.0,11.666666666666666,19.2,51.291666666666664,72.4,0.6764916666666667,0.7711,4,3,0
2004-03-27,1095.125,1306.0,873.125,1079.0,1046.0833333333333,1417.0,1425.8333333333333,1633.0,900.75,1286.0,12.583333333333334,19.1,46.541666666666664,66.6,0.64155,0.7326,5,3,1
2004-03-28,1059.7083333333333,1293.0,783.4583333333334,958.0,1121.75,1325.0,1348.0833333333333,1514.0,783.75,1200.0,13.458333333333334,21.3,45.725,68.0,0.6638875,0.7294,6,3,1
2004-03-29,992.0,1326.0,762.2083333333334,1289.0,1194.0833333333333,1643.0,1275.5833333333333,1806.0,630.7083333333334,1431.0,13.387500000000001,18.2,37.666666666666664,56.8,0.5602791666666667,0.6341,0,3,0
2004-03-30,1187.0416666666667,1584.0,912.9166666666666,1399.0,1019.875,1468.0,1447.0,1947.0,1003.9166666666666,1689.0,15.508333333333333,22.4,34.4625,46.1,0.5942958333333334,0.7833,1,3,0
2004-03-31,1181.125,1636.0,863.2916666666666,1295.0,1015.4583333333334,1699.0,1513.5416666666667,1957.0,904.25,1489.0,13.5875,15.7,55.025,78.1,0.8417916666666666,1.0746,2,3,0
2004-04-01,1240.8958333333333,1722.0,1016.4375,1595.0,878.7083333333334,1237.0,1609.7708333333333,2439.0,1134.9375,1798.0,16.416666666666668,23.6,48.57916666666667,73.1,0.8522958333333334,0.8892,3,4,0
2004-04-02,1288.9166666666667,1693.0,1059.2916666666667,1439.0,844.1666666666666,1197.0,1708.7083333333333,2083.0,1197.375,1723.0,17.941666666666666,27.6,49.104166666666664,73.7,0.9348875,1.0254,4,4,0
2004-04-03,1307.2083333333333,1697.0,989.7083333333334,1471.0,862.4583333333334,1145.0,1659.125,2153.0,1140.4583333333333,1548.0,19.133333333333333,25.8,45.699999999999996,61.7,0.9607041666666666,1.0912,5,4,1
2004-04-04,1202.7916666666667,1420.0,856.7916666666666,1085.0,939.7083333333334,1171.0,1562.375,1756.0,824.7916666666666,1057.0,18.89166666666667,26.1,50.1625,69.1,1.0414875,1.085,6,4,1
2004-04-05,1283.625,1631.0,970.5416666666666,1449.0,877.2083333333334,1536.0,1703.4583333333333,2299.0,1069.9583333333333,1615.0,16.8625,22.2,53.95416666666667,65.3,1.0167625,1.0717,0,4,0
2004-04-06,1200.5416666666667,1757.0,969.875,1636.0,889.5833333333334,1357.0,1663.7916666666667,2560.0,941.2083333333334,1806.0,16.925,20.9,48.20416666666667,61.6,0.9090541666666666,1.0408,1,4,0
2004-04-07,1051.7916666666667,1307.0,823.1666666666666,1171.0,1090.125,1826.0,1470.25,1821.0,685.4583333333334,1033.0,14.320833333333333,18.1,54.71666666666667,76.4,0.8671875,0.9953,2,4,0
2004-04-08,1153.2383333333335,1618.0,1005.7383333333333,1530.0,909.2466666666666,1366.0,1591.04,2189.0,1079.8833333333334,1791.0,14.479833333333334,21.5,49.2865,80.6,0.7366100000000001,0.8825,3,4,0
2004-04-09,1106.3799999999999,1176.0,862.13,917.0,940.93,982.84,1472.0900000000001,1560.0,1044.8,1151.0,13.238999999999999,13.932,54.979000000000006,67.9,0.82486,0.9523,4,4,0
2004-04-10,1051.4166666666667,1247.0,869.75,1037.0,973.9583333333334,1163.0,1467.8333333333333,1663.0,872.625,1219.0,15.091666666666667,22.1,49.166666666666664,73.4,0.7815083333333334,0.9503,5,4,1
2004-04-11,940.0,1153.0,707.9583333333334,945.0,1202.8333333333333,1452.0,1265.6666666666667,1425.0,631.7083333333334,913.0,14.775,22.7,43.762499999999996,71.0,0.6673416666666667,0.7531,6,4,1
2004-04-12,930.0416666666666,1115.0,599.75,776.0,1376.25,1923.0,1217.7916666666667,1384.0,462.5833333333333,697.0,12.2125,14.6,52.979166666666664,70.5,0.7398625,0.9173,0,4,0
2004-04-13,1111.0,1496.0,912.8333333333334,1354.0,988.875,1581.0,1542.2083333333333,2057.0,941.9583333333334,1579.0,13.058333333333332,16.6,53.050000000000004,68.7,0.7821875,0.851,1,4,0
2004-04-14,1143.75,1529.0,959.4583333333334,1497.0,898.25,1349.0,1582.0833333333333,2278.0,1104.2916666666667,1641.0,15.487499999999999,21.4,47.35833333333333,65.8,0.7877291666666667,0.8453,2,4,0
2004-04-15,1325.9583333333333,1875.0,1085.25,1637.0,814.0833333333334,1416.0,1732.4166666666667,2446.0,1351.6666666666667,2086.0,14.841666666666667,21.5,51.22083333333333,67.4,0.8357916666666667,1.013,3,4,0
2004-04-16,1330.0833333333333,1689.0,1069.0,1474.0,763.2916666666666,1159.0,1793.0833333333333,2298.0,1221.625,1600.0,14.091666666666667,19.2,69.34166666666667,81.0,1.0991541666666667,1.2654,4,4,0
2004-04-17,1064.75,1297.0,828.625,1003.0,960.9166666666666,1158.0,1553.1666666666667,1706.0,838.1666666666666,1177.0,15.545833333333334,19.7,64.27916666666667,82.4,1.0987625,1.2348,5,4,1
2004-04-18,1071.1666666666667,1342.0,800.625,1102.0,994.375,1309.0,1559.0416666666667,1824.0,768.9583333333334,1156.0,15.595833333333333,17.5,64.1375,77.2,1.12185,1.2695,6,4,1
2004-04-19,1051.5555555555557,1399.0,816.0,1260.0,1000.3333333333334,1275.0,1614.4444444444443,1976.0,907.3333333333334,1308.0,14.299999999999999,16.5,70.03333333333333,78.3,1.1306555555555555,1.1716,0,4,0
2004-04-24,1240.7916666666667,1567.0,976.3333333333334,1280.0,840.8333333333334,1157.0,1667.5416666666667,1970.0,1119.2083333333333,1502.0,20.083333333333332,27.5,48.520833333333336,79.7,1.0794291666666667,1.2953,5,4,1
2004-04-25,916.4583333333334,1169.0,695.125,1083.0,1274.3333333333333,1783.0,1267.2916666666667,1654.0,514.2083333333334,955.0,15.625,20.2,41.19583333333333,66.8,0.700525,0.9455,6,4,1
2004-04-26,958.0833333333334,1181.0,778.5833333333334,1114.0,1143.25,1826.0,1367.5416666666667,1685.0,650.75,1032.0,16.795833333333334,20.7,38.55833333333333,45.5,0.7247291666666666,0.7602,0,4,0
2004-04-29,1322.6666666666667,1771.0,1141.2916666666667,1690.0,757.8333333333334,1168.0,1873.0833333333333,2572.0,1364.875,2006.0,18.916666666666668,25.6,51.19166666666666,70.7,1.0685458333333333,1.3554,3,4,0
2004-04-30,1330.0833333333333,1626.0,1103.5833333333333,1476.0,732.125,1009.0,1916.9583333333333,2356.0,1306.125,1786.0,17.995833333333334,22.7,66.57083333333334,78.6,1.3452291666666667,1.4852,4,4,0
2004-05-01,1097.5,1425.0,913.7083333333334,1155.0,918.0833333333334,1205.0,1640.4166666666667,1936.0,904.625,1789.0,20.150000000000002,26.1,52.18333333333334,73.1,1.1673125,1.346,5,5,1
2004-05-02,1055.7083333333333,1394.0,858.9166666666666,1111.0,955.5,1212.0,1575.4166666666667,1853.0,872.0416666666666,1288.0,19.591666666666665,25.9,49.56666666666666,70.2,1.0740666666666667,1.2632,6,5,1
2004-05-03,1165.0833333333333,1597.0,995.5,1466.0,861.0416666666666,1284.0,1725.375,2400.0,1029.7083333333333,1687.0,21.23333333333333,30.9,48.75416666666666,68.9,1.1285291666666668,1.4028,0,5,0
2004-05-04,1143.7916666666667,1564.0,971.7083333333334,1379.0,860.0833333333334,1335.0,1795.875,2306.0,929.9583333333334,1413.0,18.0125,21.5,66.27499999999999,81.0,1.3368041666666668,1.4681,1,5,0
2004-05-05,1079.1666666666667,1449.0,942.9166666666666,1350.0,916.5833333333334,1480.0,1737.625,2264.0,871.125,1452.0,16.2375,19.0,66.89166666666667,79.8,1.2174208333333334,1.3379,2,5,0
2004-05-06,1000.5,1272.0,897.3333333333334,1304.0,991.0416666666666,1635.0,1607.5416666666667,2029.0,795.5,1315.0,14.316666666666668,20.2,62.77916666666667,78.3,1.0046208333333333,1.1154,3,5,0
2004-05-07,999.4166666666666,1247.0,936.875,1355.0,924.7083333333334,1269.0,1601.0416666666667,2095.0,814.4166666666666,1266.0,15.458333333333334,21.2,55.583333333333336,70.4,0.9385916666666666,1.0794,4,5,0
2004-05-08,1002.2916666666666,1215.0,839.5,1209.0,1021.5,1544.0,1505.4166666666667,1829.0,767.1666666666666,1237.0,14.283333333333333,20.0,59.30833333333334,85.2,0.9350458333333332,1.1703,5,5,1
2004-05-09,1020.9166666666666,1132.0,837.25,985.0,950.4166666666666,1266.0,1519.5833333333333,1625.0,813.7083333333334,1087.0,15.258333333333333,19.3,56.92083333333333,73.8,0.9671708333333333,1.1577,6,5,1
2004-05-10,1110.4583333333333,1632.0,1041.5416666666667,1668.0,857.9583333333334,1462.0,1747.5416666666667,2617.0,1010.25,1749.0,17.9375,25.2,50.4625,67.4,0.9980541666666666,1.0392,0,5,0
2004-05-11,1206.0,1650.0,1111.5,1649.0,811.4166666666666,1366.0,1804.375,2423.0,1202.125,1822.0,18.962500000000002,26.5,48.05416666666667,70.5,0.9800458333333334,1.2072,1,5,0
2004-05-12,1213.8333333333333,1754.0,1062.625,1716.0,778.625,1132.0,1799.4166666666667,2667.0,1182.25,1895.0,17.204166666666666,21.9,56.32083333333333,68.3,1.0920958333333333,1.325,2,5,0
2004-05-13,1126.0416666666667,1428.0,974.9166666666666,1368.0,878.9583333333334,1554.0,1682.2916666666667,2102.0,980.625,1602.0,17.670833333333334,20.3,51.34166666666667,59.3,1.0258666666666667,1.1486,3,5,0
2004-05-14,1121.8333333333333,1512.0,1069.25,1530.0,813.8333333333334,978.0,1669.4166666666667,2326.0,1157.3333333333333,1725.0,21.833333333333332,28.4,37.30833333333333,59.9,0.8978875,1.1298,4,5,0
2004-05-15,1043.5833333333333,1284.0,930.125,1174.0,938.7083333333334,1171.0,1497.8333333333333,1774.0,975.5,1486.0,21.037499999999998,28.2,34.387499999999996,51.4,0.8069833333333333,0.8807,5,5,1
2004-05-16,1034.4583333333333,1403.0,841.2083333333334,1151.0,1010.0833333333334,1326.0,1442.7083333333333,1820.0,773.5833333333334,1205.0,22.3625,31.5,34.8375,51.4,0.8879916666666666,1.1995,6,5,1
2004-05-17,986.5416666666666,1215.0,886.8333333333334,1234.0,1047.5416666666667,1566.0,1394.7083333333333,1735.0,798.5416666666666,1243.0,21.349999999999998,26.7,26.020833333333332,38.1,0.6353333333333333,0.7304,0,5,0
2004-05-18,1157.9583333333333,1745.0,1018.7083333333334,1748.0,887.2916666666666,1413.0,1647.5833333333333,2605.0,1075.0833333333333,2054.0,23.754166666666666,32.2,30.983333333333334,46.5,0.8575083333333334,0.9019,1,5,0
2004-05-19,1196.9583333333333,1716.0,1041.9583333333333,1701.0,827.7916666666666,1224.0,1703.2916666666667,2545.0,1076.5833333333333,2018.0,22.9875,31.6,37.69166666666667,53.4,0.9914083333333333,1.1313,2,5,0
2004-05-20,1237.375,1763.0,1055.7083333333333,1617.0,806.2916666666666,1265.0,1724.5833333333333,2503.0,1087.125,1835.0,23.650000000000002,32.6,37.43333333333333,59.0,1.0030458333333334,1.1279,3,5,0
2004-05-21,1210.9583333333333,1522.0,1039.4583333333333,1509.0,817.0,1167.0,1679.625,2275.0,1108.0,1828.0,23.483333333333334,32.8,34.72083333333333,54.7,0.9292125000000001,1.0004,4,5,0
2004-05-22,1235.4583333333333,1466.0,1006.6666666666666,1240.0,792.8333333333334,1024.0,1706.625,1965.0,1080.2083333333333,1454.0,22.037499999999998,29.2,42.354166666666664,53.8,1.0831208333333333,1.2771,5,5,1
2004-05-23,1058.6666666666667,1507.0,812.0416666666666,1311.0,1006.25,1257.0,1531.8333333333333,2107.0,765.9166666666666,1499.0,22.3625,28.8,41.75833333333333,61.6,1.0685916666666666,1.2679,6,5,1
2004-05-24,879.5,1006.0,781.875,1100.0,1212.1666666666667,1904.0,1246.4583333333333,1416.0,617.0833333333334,987.0,19.9375,25.8,25.666666666666668,45.2,0.5586041666666667,0.8394,0,5,0
2004-05-25,1064.0416666666667,1321.0,1065.7916666666667,1542.6666666666667,980.6666666666666,1559.0,1454.1666666666667,1859.0,1037.5416666666667,1481.0,23.55,32.6,20.404166666666665,40.0,0.5044708333333333,0.6151333333333333,1,5,0
2004-05-26,1177.3166666666666,1313.8,1358.125,1776.0,1000.6583333333333,1276.0,1540.0166666666667,1720.0,1293.2250000000001,1608.0,25.944166666666664,32.3,23.754166666666666,35.7,0.7307558333333333,0.844,2,5,0
2004-05-27,1087.7083333333333,1485.0,1040.7916666666667,1650.0,1022.75,1442.0,1615.7916666666667,2337.0,1027.9166666666667,1789.0,22.854166666666668,31.3,32.06666666666667,48.6,0.8372958333333332,0.9088,3,5,0
2004-05-28,1037.0416666666667,1245.0,984.8333333333334,1367.0,984.375,1305.0,1622.2083333333333,2008.0,919.0,1330.0,21.34166666666667,29.6,41.141666666666666,54.8,0.99045,1.2148,4,5,0
2004-05-29,880.9583333333334,1065.0,776.7083333333334,1106.0,1242.7916666666667,1588.0,1407.4583333333333,1707.0,615.75,929.0,20.270833333333332,23.8,39.0625,51.9,0.9044208333333333,1.0504,5,5,1
2004-05-30,875.9583333333334,1035.0,788.625,1110.0,1212.25,1502.0,1383.9583333333333,1652.0,656.9166666666666,1044.0,23.712500000000002,32.0,31.28333333333333,47.7,0.8442124999999999,0.9385,6,5,1
2004-05-31,1007.0,1252.0,977.125,1429.0,974.4583333333334,1451.0,1663.3333333333333,2120.0,868.25,1390.0,22.791666666666668,30.9,42.87083333333334,81.6,1.1112875,1.6296,0,5,0
2004-06-01,1135.5833333333333,1501.0,1021.875,1501.0,896.7916666666666,1527.0,1881.5,2486.0,1066.9583333333333,1517.0,20.325,25.7,66.15416666666667,82.3,1.5333499999999998,1.6688,1,6,0
2004-06-02,977.4583333333334,1223.0,856.7083333333334,1142.0,1009.0833333333334,1280.0,1697.9583333333333,1965.0,823.1666666666666,1084.0,23.895833333333332,31.8,52.68333333333334,70.7,1.4779875,1.5799,2,6,0
2004-06-03,991.7083333333334,1234.0,986.75,1318.0,958.5,1517.0,1729.25,2180.0,992.6666666666666,2202.0,23.308333333333334,29.1,45.949999999999996,79.0,1.2181916666666666,1.704,3,6,0
2004-06-04,960.5238095238095,1120.0,930.1904761904761,1226.0,1011.4285714285714,1570.0,1629.3333333333333,1938.0,819.047619047619,1088.0,23.64761904761905,28.3,38.93333333333334,54.0,1.0894761904761905,1.2342,4,6,0
2004-06-05,962.625,1157.0,891.2916666666666,1183.0,975.1666666666666,1135.0,1660.5,1970.0,852.5416666666666,1079.0,23.8875,30.7,45.07083333333333,59.4,1.2747666666666666,1.6315,5,6,1
2004-06-06,849.9166666666666,968.0,751.9583333333334,914.0,1139.0416666666667,1471.0,1516.4583333333333,1739.0,629.25,862.0,21.90416666666667,27.0,48.729166666666664,81.8,1.1993208333333334,1.5816,6,6,1
2004-06-07,973.8333333333334,1243.0,1031.8333333333333,1524.0,919.9583333333334,1281.0,1756.3333333333333,2281.0,957.25,1470.0,25.558333333333334,35.9,37.7125,57.9,1.1236166666666667,1.2898,0,6,0
2004-06-08,1069.5833333333333,1377.0,1086.5,1688.0,870.5416666666666,1449.0,1861.4166666666667,2746.0,1095.6666666666667,1708.0,27.316666666666666,37.8,38.35,62.3,1.255925,1.313,1,6,0
2004-06-09,1122.3333333333333,1496.0,1114.125,1705.0,803.4166666666666,1113.0,1872.5416666666667,2691.0,1179.2916666666667,2147.0,29.441666666666666,40.6,35.84583333333333,56.0,1.3138708333333333,1.4672,2,6,0
2004-06-10,1121.4166666666667,1373.0,1114.5,1561.0,794.3333333333334,1138.0,1880.375,2525.0,1128.0416666666667,1640.0,29.025000000000002,40.4,36.65833333333333,59.4,1.32895,1.502,3,6,0
2004-06-11,1035.25,1355.0,1056.25,1526.0,851.125,1176.0,1732.3333333333333,2397.0,1048.9583333333333,1658.0,28.425,37.4,29.583333333333332,51.4,1.0332833333333333,1.2065,4,6,0
2004-06-12,1023.2916666666666,1245.0,901.5416666666666,1119.0,894.2916666666666,1109.0,1616.6666666666667,1870.0,868.125,1200.0,27.325,37.0,33.55416666666667,46.6,1.1616166666666665,1.4135,5,6,1
2004-06-13,846.5833333333334,1086.0,641.7083333333334,946.0,1263.25,1534.0,1395.2916666666667,1729.0,498.2083333333333,945.0,22.304166666666664,26.2,42.84166666666667,51.0,1.1435,1.4599,6,6,1
2004-06-14,878.875,1072.0,736.2083333333334,1057.0,1185.25,1941.0,1494.0833333333333,1820.0,600.1666666666666,885.0,22.183333333333334,25.6,43.89166666666667,52.7,1.1538916666666668,1.2534,0,6,0
2004-06-15,999.7916666666666,1287.0,1011.0833333333334,1424.0,900.4583333333334,1525.0,1744.2916666666667,2319.0,935.9583333333334,1489.0,26.575,35.3,36.06666666666667,51.8,1.1686416666666666,1.2524,1,6,0
2004-06-16,1059.5,1440.0,1015.4583333333334,1556.0,822.5,1163.0,1787.2916666666667,2530.0,933.0,1561.0,25.9375,33.6,41.97083333333333,59.8,1.3132625,1.4659,2,6,0
2004-06-17,1048.875,1335.0,1022.8333333333334,1496.0,824.0416666666666,1102.0,1794.9583333333333,2385.0,1007.7083333333334,1690.0,25.291666666666668,31.5,42.625,60.8,1.3121125,1.394,3,6,0
2004-06-18,1042.8333333333333,1306.0,1035.5833333333333,1522.0,825.2916666666666,1259.0,1800.1666666666667,2450.0,961.6666666666666,1545.0,28.2375,37.6,38.00416666666667,54.1,1.3521041666666667,1.4733,4,6,0
2004-06-19,990.9807692307692,1101.0,883.5096153846154,992.0,909.25,1109.0,1647.9583333333333,1774.0,774.7083333333334,1007.0,29.473076923076928,36.1,35.82884615384615,55.0,1.3452266025641026,1.4517,5,6,1
2004-06-20,990.2649572649572,1009.5384615384615,895.9647435897435,922.2307692307692,943.5555555555555,1286.3333333333337,1643.375,1664.0,711.6666666666666,730.0,32.443162393162396,33.45384615384616,29.137286324786327,50.95641025641026,1.2768219017094016,1.2833384615384615,6,6,1
2004-06-21,917.7126068376068,1221.0,917.5673076923076,1386.0,954.0694444444445,1353.0,1601.7083333333333,2138.0,764.25,1412.0,24.52542735042735,31.1,36.76303418803419,57.6,1.0254473290598292,1.200874358974359,0,6,0
2004-06-22,1023.75,1332.0,1031.2916666666667,1556.0,842.8333333333334,1385.0,1765.7916666666667,2394.0,1001.6666666666666,1660.0,25.504166666666666,33.5,37.975,56.5,1.1623583333333334,1.2095,1,6,0
2004-06-23,1080.125,1313.0,1061.125,1408.0,786.7083333333334,1183.0,1815.2083333333333,2210.0,1116.2916666666667,1598.0,27.22083333333333,35.4,36.520833333333336,52.3,1.2278416666666667,1.44,2,6,0
2004-06-24,1042.125,1256.0,914.0416666666666,1340.0,846.2083333333334,1062.0,1722.0,2176.0,844.1666666666666,1280.0,27.808333333333334,35.8,41.333333333333336,60.9,1.4347916666666667,1.7193,3,6,0
2004-06-25,1013.0833333333334,1203.0,986.5,1237.0,834.0833333333334,1144.0,1679.9583333333333,1968.0,933.9583333333334,1370.0,27.883333333333336,36.2,33.699999999999996,57.0,1.160025,1.3793,4,6,0
2004-06-26,981.0833333333334,1214.0,877.1666666666666,1151.0,913.5833333333334,1171.0,1567.875,1938.0,869.875,1323.0,28.09166666666667,38.4,32.24583333333333,45.8,1.1505791666666667,1.5098,5,6,1
2004-06-27,984.2916666666666,1127.0,858.75,1075.0,921.3333333333334,1195.0,1593.8333333333333,1830.0,847.0416666666666,1266.0,31.241666666666664,42.2,33.670833333333334,53.7,1.3508958333333334,1.5318,6,6,1
2004-06-28,1098.375,1441.0,1040.7083333333333,1606.0,786.5833333333334,1079.0,1798.0416666666667,2568.0,1042.25,1791.0,31.099999999999998,40.4,33.2125,50.1,1.3867083333333332,1.4854,0,6,0
2004-06-29,1164.1666666666667,1502.0,1082.125,1631.0,731.2916666666666,1080.0,1919.3333333333333,2622.0,1170.1666666666667,1858.0,31.116666666666664,38.0,37.05833333333333,49.5,1.5999875000000001,1.8362,1,6,0
2004-06-30,1156.0833333333333,1506.0,1080.3333333333333,1499.0,719.6666666666666,1052.0,1898.4583333333333,2485.0,1257.7083333333333,2043.0,31.608333333333334,39.7,38.65,59.1,1.679625,1.939,2,6,0
2004-07-01,1130.5833333333333,1380.0,1038.5416666666667,1376.0,740.9166666666666,1079.0,1854.25,2337.0,1059.625,1617.0,30.45,38.1,39.69166666666667,58.6,1.6241083333333333,1.7969,3,7,0
2004-07-02,1097.875,1529.0,1022.0416666666666,1526.0,767.9583333333334,1046.0,1758.0416666666667,2559.0,1031.4166666666667,1763.0,30.1875,38.8,33.77916666666667,50.6,1.3643416666666666,1.6396,4,7,0
